caminho_relativo,classe,conjunto
Fracture Dislocation/Train/F3-large_jpg.rf.3c06cbef7bd612539b1b7db2c.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/Figure201a_0-JPG_jpg.rf.45d6d1bc94a0953791811c2ef8bdc7c8.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/GALLEAZZI_jpg.rf.36a80364960844c23e8d28a27aed4eeb.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/Imaging-of-patient-TD-x-ray-after-trauma-a-axial-ct-of-the-fracture-b-3d_png.rf.b08166633212792f0672e17285ef6c6a.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/Plain-x-ray-appearances-of-fracture-dislocation-of-hips_png.rf.27d8552c169239839233ec26aa9a1854.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/Pre-and-postoperative-x-ray-of-l-fracture-dislocation-with-concomitant_jpg.rf.119601864a664da1abea52d079efe7d1.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/Pre-and-postoperative-x-ray-of-l-fracture-dislocatoncomitant_jpg.rf.119601864a664da1abea52d079efe7d1.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/X-ray-of-ankle-joint-anteroposterior-view-showing-fracture-dislocation-of-ankle-It_png.rf.24d160278ac319ce616cd26a48b9dfb3.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/a1bn1_jpg.rf.c98508718aa58362706b40d0b1a51977.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/a5097978c7f0a2_flex7_jpg.rf.fd2b48f9cdfa6e4920ce57cfb82680b5.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/a5097978c7f0a2_flex7_jpg.rf.fd2b48f9cdfa6e4920cefb82680b5.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/bf732db52716f6b487260ee05010f4_jumbo_jpeg.rf.447c7ee0304ce538b6ddbaba6f16dbed.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/c51fc85c72384555edf1d6ec412e53_jumbo_jpg.rf.d1abec7a9d63a4da7fa11a8274072b1f.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/cow217lat_jpg.rf.ee52f52e41e1f0a2df9e3bb3cafc5016.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/d98391d0b4ed11eca52dcfcc122122a0-Screen-Shot-2022-04-01-at-10-30-15-AM_png.rf.debe1f70a056d7438b724708ee01f0d4.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/f312a5ff3de3c0bcee1ffc1b9a88dc_jumbo_jpeg.rf.dbbe7d6f0f4a33c161868b07f2528713.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/fc65395dd9c83461025ab8fbb3b430_jumbo-JPG_jpg.rf.b419d0be56f385d775ab7444f7b323cb.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/film-xray-elbow-ap-showed-260nw-1126379768_jpg.rf.3b9679e0a7236095db8bc8509e5510d5.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/film-xray-elbow-ap-showed-260nw-379768_jpg.rf.3b9679e0a7236095db8bc8509e5510d5.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/fracturedislocationgaleazzi01mdatvaccidentplain5y41d7581db9be3deb5ede90b.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/fracturedislocationgaleazzi01mdatvaccidentplain5yo_jpg.rf.e80b42ea241d7581db9be3deb5ede90b.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/fracturedislocationmonteggia01mdfellplain3yo_jpg.rf.761868d92f84fc315c69679322532546.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/gr1_jpg.rf.23581f947c5ded563f968111bb3866c1.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/gr1_lrg_jpg.rf.b138d2700bb1500d0b26fef.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/gr1_lrg_jpg.rf.b138d2700bb156e32430b700d0b26fef.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/image11_jpeg.rf.b32da1dc362c9bfa4e45266b46be6.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/image12_jpeg.rf.f470d4b4f43b022e09a1354f0b424f78.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/image13_jpeg.rf.bec227ccd3d28aa517f2b44d22b611fc.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/image14_jpeg.rf.9cd940a79567f32249bfd958dc34ff68.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/image16_jpeg.rf.26c44b5cc4cd37df6964b01809904121.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/image18_jpeg.rf.c384728c54a1c31be9d054d13ab7fd22.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/image1figure1edit01_1102610_jpg.rf.588dc8f696544092683b7e78c214eed1.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/image20_jpeg.rf.8a89e0e1fab7e53f5cba2a0bd65ba976.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/image21_jpeg.rf.35b8827cc0a6d988797e57f3685c722d.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/image21_jpeg.rf.35b88988797e57f3685c722d.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/image22_jpeg.rf.dd7df6085c3b1f817643e5a18b89b63d.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/image25_jpeg.rf.2e86e05a986064c4cb2.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/image25_jpeg.rf.2e86e05a9864c740ef0cedc0064c4cb2.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/image28_jpeg.rf.6503e348fea4497cc6cec71b2d7f4520.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/image29_jpeg.rf.37c863c2ba3611b7f4fa75d82e82.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/image29_jpeg.rf.37c863c2edbdba3611b7f4fa75d82e82.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/image31_jpeg.rf.966b2ec164.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/image31_jpeg.rf.9fb28a3cc82566b2ec164.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/image32_jpeg.rf.0cd9c3f4cb457ac78b29ddbf67240.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/image32_jpeg.rf.0cd9c3f4cb457ac78b29ddbf67b53240.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/image3_jpeg.rf.5be0b2530178652a21db62fd7476bd75.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/image4_jpeg.rf.b9b5e83a799c82dfe43bc01a9cfea21c.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/image8_jpeg.rf.d1eea199c346ebadf0cd86f75eece161.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/images11_jpg.rf.f49a62d108ce15babe1c6f07cdb6ff41.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/images13_jpg.rf.f5f8b144c22975c2db1d9d9.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/images13_jpg.rf.f5f8b1cf544c22975c2db1d9d9.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/images13_jpg.rf.f5f8b1cf548db8e44c22975c2db1d9d9.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/images13_jpg.rf.f5f8b1cf548e44c22975c2db1d9d9.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/images16_jpg.rf.09663e786a7986ab28cfdc378620ca2d.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/images17_jpg.rf.f1708c6114060a32136c5b2e756b310e.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/images18_jpg.rf.26eda2e2f4e9f31a65d54222a194b.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/images18_jpg.rf.26eda2e2fd714e9f31a65d54222a194b.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/images18_jpg.rf.26eda2e54222a194b.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/images21_jpg.rf.4ea90dfd023828752d3c3094d4cdcfd9.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/images22_jpg.rf.8813957da93e615975f6d8ca135d1d9b.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/images26_jpg.rf.f28e555d877cbafa7b4da12e763dd23a.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/images4_jpg.rf.643b94ac51b45ba.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/images4_jpg.rf.643bac51b45ba.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/images5_jpg.rf.67b9c46ceaab61c6807499d3e4b1.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/images9_jpg.rf.4f4ecc1179dd78eea35b2a018d7b26bc.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/jfmk-07-00030-g001_png.1e8d6666777.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/jfmk-07-00030-g001_png.1e8d66777.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/jfmk-07-00030-g001_png.rf.fe7297a31e8d6666777.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/lightbox_36896a901c8b11ec811b03ac191d423b-L-pre-reduct-resized_png.rf.abd6698fc535e4f3cce89fdbc096dfb0.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/lightbox_ff8e0dd027ac11eb92a5b7c2605fc013-figure-1_png.rf.e7f6c87caf004b92b9c429cfcb073456.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/maxresdefault2_jpg.rf.0e3a180bbbaa38cb792fb6dd140e74a4.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/ot1020_otgr_f1_og_jpg.r458596504941ee7e64eb43f41a.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/ot1020_otgr_f1_og_jpg.rf.0458090596504941eefb7e64eb43f41a.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/pediatric20elbow20dislocation20and20mediadyle20fracture_g.rf.7fd0217ef2ea1200be525743c4330f90.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/pediatric20elbow20dislocation20and20medial20epicpondyle20fracture_g.rf.7fd0217ef2ea1200be525743c4330f90.jpg,Fracture Dislocation,treino
Fracture Dislocation/Train/radiocarpal_dislocation-_jpg.rf.3085ea123b819ca081832819cd1f503a.jpg,Fracture Dislocation,treino
Greenstick fracture/Test/0-_jumbo_jpeg.rf.f83148ed2e6771e243f98f5595db6b9c.jpg,Greenstick fracture,treino
Greenstick fracture/Test/001_jumbo_jpeg.rf.ebf440662388fc36df361ce39890acb2.jpg,Greenstick fracture,treino
Greenstick fracture/Test/1-s2-0-S1930043321005148-gr1_j.rf.ea5be53ec584c7fa9e3e1ddba7210dd5.jpg,Greenstick fracture,treino
Greenstick fracture/Test/1-s2-0-S1930043321005148-gr1_jpg.rf.ea5be53ec584c7fa9e3e1ddba7210dd5.jpg,Greenstick fracture,treino
Greenstick fracture/Test/15ff6b9162cf7c04caad3fbd4f4a2e_gallery_jpg.rf.bdcd5db0dd212b125b361a70ddf63265.jpg,Greenstick fracture,treino
Greenstick fracture/Test/247_2019_4591_Fig4_HTML_jpg.rf.55ba8a51eb38363815c04444d7dcd509.jpg,Greenstick fracture,treino
Greenstick fracture/Test/2560px-Greenstick_fracture2C_A-P_view_jpg.rf.290485498308a848fd2518e20b0426b1.jpg,Greenstick fracture,treino
Greenstick fracture/Test/40926tn_jpg.rf.95b23c6c30cc0d022f5af322fe72b9ce.jpg,Greenstick fracture,treino
Greenstick fracture/Test/474345-58c87a400ed40ee60296b02ce19ee7dc_1_jpg.rf.31fd8bccbbf50f2664f3fab7a971f790.jpg,Greenstick fracture,treino
Greenstick fracture/Test/5081d90aea64c_jpg.rf.236544b7b485ea3c53214f7c1ae90430.jpg,Greenstick fracture,treino
Greenstick fracture/Test/6550e902d0af421ad3b94f073620d1_gallery_jpeg.rf.c23760797e0bcc7af6ab14327062b17f.jpg,Greenstick fracture,treino
Greenstick fracture/Test/69f4dcb3b060206f0acaec9f0a25bf3a67ceb063d5e06889caea74ed65332482_jumbo_jpeg.rf.ea88d6dd7d4a8a9a47a31053ce9952e7.jpg,Greenstick fracture,treino
Greenstick fracture/Train/3115574c112e21d961cf0f63929a8786_jpg.rf.4528c620dc1e6ae74bc00ea5bd1e5730.jpg,Greenstick fracture,treino
Greenstick fracture/Train/376010893_jpg.rf.19a332341870f296e7c3aa47d.jpg,Greenstick fracture,treino
Greenstick fracture/Train/376010893_jpg.rf.19a332341870f296e7c3aa491937ed7d.jpg,Greenstick fracture,treino
Greenstick fracture/Train/A-Initial-fracture-Follow-up-radiograph_png.a7b09117eb778be10771416.jpg,Greenstick fracture,treino
Greenstick fracture/Train/A-Initial-fracture-radiograph-showing-a-B-Follow-up-radiograph_png.a7b09117eb778be10771416.jpg,Greenstick fracture,treino
Greenstick fracture/Train/A-Initial-fracture-radiograph-showing-a-greenstick-fracture-B-Follow-up-radiograph_png.a7b09117eb778be10771416.jpg,Greenstick fracture,treino
Greenstick fracture/Train/A214966_1_En_4_Fig4_HTML_jpg.rf.4a1be1b6de9bf170aef3d852c4ae97.jpg,Greenstick fracture,treino
Greenstick fracture/Train/A214966_1_En_4_Fig4_HTML_jpg.rf.4a1be561b6de9bf170aef3d852c4ae97.jpg,Greenstick fracture,treino
Greenstick fracture/Train/A214966_1_En_4_FigTML_jpg.rf.4a1be1b6de9bf170aef3d852c4ae97.jpg,Greenstick fracture,treino
Greenstick fracture/Train/AJGP-11-2020-Clcal-Skled-Bent-Broken-Fig-1_jpg.rf.f5fb593f9b3258cd1d5e4ff81cd5ae2a.jpg,Greenstick fracture,treino
Greenstick fracture/Train/AJGP-11-2020-Clinical-Selvakumaran-Buckled-Bent-Broken-Fig-1_jpg.rf.f5fb593f9b3258cd1d5e4ff81cd5ae2a.jpg,Greenstick fracture,treino
Greenstick fracture/Train/AJGP-11-2020-Clinical-Skled-Bent-Broken-Fig-1_jpg.rf.f5fb593f9b3258cd1d5e4ff81cd5ae2a.jpg,Greenstick fracture,treino
Greenstick fracture/Train/Comparison-imaging-of-pediatric-fractures_jpg.339d8d0f5e1ae7b77ee6efceaf5a1386.jpg,Greenstick fracture,treino
Greenstick fracture/Train/Comparison-imaging-of-pediatric-fractures_jpg.rf.339d8d0f5e1ae7b77ee6efceaf5a1386.jpg,Greenstick fracture,treino
Greenstick fracture/Train/Comparison-imaging-of-peric-fractug9d8d0f5e1ae7b77ee6efceaf5a1386.jpg,Greenstick fracture,treino
Greenstick fracture/Train/Comparison-imaging-of-peric-fracturesg.339d8d0f5e1ae7b77ee6efceaf5a1386.jpg,Greenstick fracture,treino
Greenstick fracture/Train/Comparison-imaging-of-peric-fracturesg9d8d0f5e1ae7b77ee6efceaf5a1386.jpg,Greenstick fracture,treino
Greenstick fracture/Train/F2-large2_jpg.rf.909564a6e3fea1037f579a8c2b718ec1.jpg,Greenstick fracture,treino
Greenstick fracture/Train/F2-large_jpg.rf.e951d37c62798156e8e7b6f454dccf51.jpg,Greenstick fracture,treino
Greenstick fracture/Train/Greenstick-300x265_jpg.rf.d86c08d814d3a4fb36e5.jpg,Greenstick fracture,treino
Greenstick fracture/Train/Greenstick_fracture2C_lateral_view_jpg.rf.c56f8f1d8fb8534c211d4ef1a00ff7e8.jpg,Greenstick fracture,treino
Greenstick fracture/Train/Greenstickfractures-JPEG_jpg.rf.1644947c466002445c7bdc9b132be5c1.jpg,Greenstick fracture,treino
Greenstick fracture/Train/Greenstickfx_jpg.rf.577c2a132d721a84da75aecb2d3d0401.jpg,Greenstick fracture,treino
Greenstick fracture/Train/Greenstickfxradius_jpg.rf.65d105d96918cb626cef58c4638d65e1.jpg,Greenstick fracture,treino
Greenstick fracture/Train/Greenstickfxradius_jpg.rf.65d105d96918cb626cef58c46d65e1.jpg,Greenstick fracture,treino
Greenstick fracture/Train/Gruenholzfraktur_-_Unterarmfraktur_jpg.rf.49fefdeaf3c85ceb7a85dcb1fd1079ee.jpg,Greenstick fracture,treino
Greenstick fracture/Train/Radiographs-of-the-right-wrist-at-the-time-of-injury-show-a-greenstick-fracture-of-the_png.rf.11a54146d63994ac580026512fac7e8b.jpg,Greenstick fracture,treino
Greenstick fracture/Train/Radiology_ND_0125_ABF_jpg.rf.3f5c042e47a87f0408487a61521f5.jpg,Greenstick fracture,treino
Greenstick fracture/Train/a4a7ce2566d595ab4d85122c860a73fc-pediatric-radiology-radiologic-technologist_jpg.rf.6af1cc0ddf5b43ee1426a98df5eb28ca.jpg,Greenstick fracture,treino
Greenstick fracture/Train/a509797810e432_greenstick_jpg.rf.c146d133697935a23e0f1a9160b744f0.jpg,Greenstick fracture,treino
Greenstick fracture/Train/bbfrx3_jpg.rf.023bfda9bce9e3fbea1790641fe949df.jpg,Greenstick fracture,treino
Greenstick fracture/Train/c0775e1108f1dd0ff3ada8b4236468_jumbo_-_Copy_jumbo_jpeg.rf.3ae1fd7f229c8d721be5e601a53a1825.jpg,Greenstick fracture,treino
Greenstick fracture/Train/distal-radius-torus-fracture_jpg.rf.29556a0fbc1d3e67b32766973.jpg,Greenstick fracture,treino
Greenstick fracture/Train/fracture-radius-ulna-3-year-old_jpg.rf.9a791256db55d5bfeee9f593700aae14.jpg,Greenstick fracture,treino
Greenstick fracture/Train/fracturegreenstick02jakfooshforearmacutepln6yo_jpg.rf.5577e35c5e3bce4414cae6437ac94a56.jpg,Greenstick fracture,treino
Greenstick fracture/Train/g04jl21g15a_jpeg.rf.ed477649cfddf551a4c9240c2ce90e4e.jpg,Greenstick fracture,treino
Greenstick fracture/Train/greenstick-fracture-involving-radius_big_gallery_jpeg.rf.5e627ee89a3fcb6e09091f3a1cc6ab26.jpg,Greenstick fracture,treino
Greenstick fracture/Train/greenstick-lateral_jpg.rf.a4c6b83ec9c7d91ec872f765ed84f7f9.jpg,Greenstick fracture,treino
Greenstick fracture/Train/greenstick2_jpg.rf.8b21b7487d6fb70c34da06dd3443.jpg,Greenstick fracture,treino
Greenstick fracture/Train/greenstick2_jpg.rf.8b21b7487e4ced6fb70c34da06dd3443.jpg,Greenstick fracture,treino
Greenstick fracture/Train/greenstick_jpg.rf.a5c56be764c4ae30a3098856bc9169f2.jpg,Greenstick fracture,treino
Greenstick fracture/Train/hqdefault_jpg.rf.03985c733db2ba772348639531659c92.jpg,Greenstick fracture,treino
Greenstick fracture/Train/image12_jpeg.rf.0749a955ab14ab02c77730641656.jpg,Greenstick fracture,treino
Greenstick fracture/Train/image12_jpeg.rf.0749a955aba84514ab02c77730641656.jpg,Greenstick fracture,treino
Greenstick fracture/Train/image13_jpeg.rf.bf7370768c21919fbc560e56fe7770ff.jpg,Greenstick fracture,treino
Greenstick fracture/Train/image14_jpeg.rf.b18dfce682391ee9913220a5319acc16.jpg,Greenstick fracture,treino
Greenstick fracture/Train/image14_jpeg.rf.b18dfce68ee9913220a5319acc16.jpg,Greenstick fracture,treino
Greenstick fracture/Train/image15_jpeg.rf.7a875ac5d3df875d780e8cc1fa53284f.jpg,Greenstick fracture,treino
Greenstick fracture/Train/image17_jpeg.rf.5060cfe075f657ab78fde3d070d936f7.jpg,Greenstick fracture,treino
Greenstick fracture/Train/image19_jpeg.rf.d43748b821d95d253e10a3f209e146af.jpg,Greenstick fracture,treino
Greenstick fracture/Train/image23_jpeg.rf.a0315194f059878cff330f44429a733b.jpg,Greenstick fracture,treino
Greenstick fracture/Train/image24_jpeg.rf.181c035c9515a635636306737011660f.jpg,Greenstick fracture,treino
Greenstick fracture/Train/image26_jpeg.rf.675f0daa8769e554efc7e80841f1634a.jpg,Greenstick fracture,treino
Greenstick fracture/Train/image28_jpeg.rf.59694ce75597f752eac764a75e4265c4.jpg,Greenstick fracture,treino
Greenstick fracture/Train/image29_jpeg.rf.e1feb47f87600327119a07f2c69605cf.jpg,Greenstick fracture,treino
Greenstick fracture/Train/image2_jpeg.rf.b5926a4a085c19ad61a2ff577c113958.jpg,Greenstick fracture,treino
Greenstick fracture/Train/image31_jpeg.rf.5a587b83d066c862e9456fb334f1.jpg,Greenstick fracture,treino
Greenstick fracture/Train/image7_jpeg.rf.f61a4eb51513e46355540e7fd4fed2d8.jpg,Greenstick fracture,treino
Greenstick fracture/Train/images10_jpg.rf.e32de74bcf15dc9f1fbab4c205613299.jpg,Greenstick fracture,treino
Greenstick fracture/Train/images12_jpg.rf.227b41d1682207c5c7c3cd99ba3ade37.jpg,Greenstick fracture,treino
Greenstick fracture/Train/images14_jpg.rf.cfa2b65d744a542ee82fe2fbc7a833f8.jpg,Greenstick fracture,treino
Greenstick fracture/Train/images3_jpg.rf.136e68e1dd28992e810488eb16f7108e.jpg,Greenstick fracture,treino
Greenstick fracture/Train/images4_jpg.rf.dbedabde07f3911d24e5b85f4bd27693.jpg,Greenstick fracture,treino
Greenstick fracture/Train/images7_jpg.rf.14feced721f93947f1f92689ae9de854.jpg,Greenstick fracture,treino
Greenstick fracture/Train/pedi6-JPG_jpg.rf.d128aee3ca5d06a2c4a79b104b8fa372.jpg,Greenstick fracture,treino
Greenstick fracture/Train/pedi6-JPG_jpg.rf.d128aee3ca5d06a2c4b104b8fa372.jpg,Greenstick fracture,treino
Greenstick fracture/Train/x-ray-wrist-greenstick-fracture-radius-marker-negative-right-136595001_jpf.83ac9f132a7c842d809d0f3c90eb7f57.jpg,Greenstick fracture,treino
Greenstick fracture/Train/x-ray-wrist-greenstick-fracture-radius-marker-negative-right-136595001_jpg.rf.83ac9f132a7c842d809d0f3c90eb7f57.jpg,Greenstick fracture,treino
Greenstick fracture/Train/xray-wrist-greenstick-fracture-radius-260nw-12756848_jpg.rf.12933164c5a5b2311333def69313ab8a.jpg,Greenstick fracture,treino
Greenstick fracture/Train/xray-wrist-greenstick-fracture-radius-260nw-1283756848_jpg.rf.12933164c5a5b2311333def69313ab8a.jpg,Greenstick fracture,treino
Hairline Fracture/Test/0-_jumbo_jpeg.rf.d39588df830d194c0cda3b800664160b.jpg,Hairline Fracture,treino
Hairline Fracture/Test/10195_2010_9ig2_HTML_jpg.rf.c12df3901db2a4b4e0952d10f5660ae0.jpg,Hairline Fracture,treino
Hairline Fracture/Test/2995c0750ed98208c238f4b6a27ddd_jumbo_jpg.rf.f3c327c6d4893a32a5bdf9d01f425028.jpg,Hairline Fracture,treino
Hairline Fracture/Test/2995c0750ed98208c238f4b6ad_jumbo_jpg.rf.f3c327c6d4893a32a5bdf9d01f425028.jpg,Hairline Fracture,treino
Hairline Fracture/Test/2bc441c91f63a9588fab405fde2ae3_jumbo_jpeg.rf.9b7b45ce86f1197b06bbfbdd736b8b55.jpg,Hairline Fracture,treino
Hairline Fracture/Test/640px-Cropped_version_of_Jonesfracture_jpg.rf.cbf840958b7c85972169a63197313018.jpg,Hairline Fracture,treino
Hairline Fracture/Test/7919tn_jpg.rf.43200f6cb2d72e3082805002b9f3a1f8.jpg,Hairline Fracture,treino
Hairline Fracture/Train/118310170f8fcd378be23758f73570_jumbo_jpeg.rf.aa501805e28e21bed86d260770f21ee6.jpg,Hairline Fracture,treino
Hairline Fracture/Train/20983tn_jpg.rf.5e1f76b5b7b3f6c679b02d6f301a80e6.jpg,Hairline Fracture,treino
Hairline Fracture/Train/43019_2022_139_Fig1_HTML_jpg.rf.b788595a2bd3ec29f5f934b258fc776d.jpg,Hairline Fracture,treino
Hairline Fracture/Train/43019_2022_139_Fig1_HTML_jpg.rf.b788595d3ec29f5f934b258fc776d.jpg,Hairline Fracture,treino
Hairline Fracture/Train/56653e2e0621405fc4065e87298031_jumbo_jpeg.rf.59e6400f139ec50b51a3289d02d242de.jpg,Hairline Fracture,treino
Hairline Fracture/Train/85875d48445a55e8241a101c1685fc_gallery_jpeg.rf.444fa93e2f126873f2c2ede78676caf1.jpg,Hairline Fracture,treino
Hairline Fracture/Train/A-Lateral-plain-radiograph-showing-the-dreaded-black-line-highlighted-with-the_png.rf.4dc4617c722fb1cd249cb8563544969c.jpg,Hairline Fracture,treino
Hairline Fracture/Train/A320567_1_En_5_Fig3_HTML_jpg.rf.94ac07af6d69b71d28929cda494a7ea8.jpg,Hairline Fracture,treino
Hairline Fracture/Train/A320567_1_En_5_Fig4_HTML_jpg.rf.af37290c11596fddfd117e126285949c.jpg,Hairline Fracture,treino
Hairline Fracture/Train/A320567_1_En_5_Fig5_HTML_jpg.rf.c1b04f919eb7cba3779f97eca5725041.jpg,Hairline Fracture,treino
Hairline Fracture/Train/Calcaneal-stress-fracture-001_jpg.rf.200a09222e403ac0f3b8466c52453ea8.jpg,Hairline Fracture,treino
Hairline Fracture/Train/Hairline-fractures_png.rf.1e758c6f946ab2ad5967115102e28a49.jpg,Hairline Fracture,treino
Hairline Fracture/Train/Radiograph-showing-stress-fracture-of-medial-femoral-condyle-with-degenerative-changes-in_png.rf.4c414921e1fc8e53a09b5e42d5517715.jpg,Hairline Fracture,treino
Hairline Fracture/Train/Stress-Fracture-Xrays_jpg.rf.1036a4c17f3c3d4f5820281f9b10bb0f.jpg,Hairline Fracture,treino
Hairline Fracture/Train/X-ray_of_periosteal_reaction_of_a_stress_fracture_of_the_radius_jpg.rf.45d3b8335b831ededcbf7d36284d1744.jpg,Hairline Fracture,treino
Hairline Fracture/Train/a5097977a181fa_x-vs-stir_jpg.rf.58eee102208f25db50253905db351b46.jpg,Hairline Fracture,treino
Hairline Fracture/Train/a5097977a1eb9d_ntvg-knee_jpg.rf.706f88418c5fb3d7e3cfc0adc140a6ed.jpg,Hairline Fracture,treino
Hairline Fracture/Train/a5097977a216c6_stress-tibia-rijnl_jpg.rf.ee5858ea2e2cee2ac2a55c198fbd4cc5.jpg,Hairline Fracture,treino
Hairline Fracture/Train/a5097977a216c6_stress-tibia-rijnland_jpg.rf.ee5858ea2e2cee2ac2a55c198fbd4cc5.jpg,Hairline Fracture,treino
Hairline Fracture/Train/a5097977a22443_fibula_jpg.rf.ad88b884d995f003ec87d2971f5ca697.jpg,Hairline Fracture,treino
Hairline Fracture/Train/a5097977a22d4c_metatarsal_jpg.rf.9c51afb0204cf1c39e3a57410b38f96c.jpg,Hairline Fracture,treino
Hairline Fracture/Train/a5097977a231ef_metatal2_jpg.rf.d5163e72a121fc62d7720e7f2096a7.jpg,Hairline Fracture,treino
Hairline Fracture/Train/a8d66de72edb47732c1d2be7f3_gallery_jpg.rf.7480d438695221bcb83b3ef7239528b1.jpg,Hairline Fracture,treino
Hairline Fracture/Train/b01ca8724c9057f76a0cefa0d8c519f5_jpg.rf.edae2419cc0467a1ecba8c294cea0783.jpg,Hairline Fracture,treino
Hairline Fracture/Train/bjr-85-1016-1148-f01_jpeg.rf.5005013c2687ac451576f1a45dbb8618.jpg,Hairline Fracture,treino
Hairline Fracture/Train/bones_what_to_7.rf.f7f16.jpg,Hairline Fracture,treino
Hairline Fracture/Train/bones_what_to_7g.rf.f56d7f16.jpg,Hairline Fracture,treino
Hairline Fracture/Train/bones_what_to_7g.rf.f7f16.jpg,Hairline Fracture,treino
Hairline Fracture/Train/bones_what_to_k_7329_732g.rf.85dff1f0a0deb0093f75b56d7f16.jpg,Hairline Fracture,treino
Hairline Fracture/Train/bones_what_to_k_7329_732g.rf.85dff1f0eb0093f75b56d7f16.jpg,Hairline Fracture,treino
Hairline Fracture/Train/bones_what_to_k_7329_g.rf.85dff1f0eb0075b56d7f16.jpg,Hairline Fracture,treino
Hairline Fracture/Train/bones_what_to_k_7329_g.rf.85dff1f0eb0093f75b56d7f16.jpg,Hairline Fracture,treino
Hairline Fracture/Train/bones_what_to_k_7329_g.rf.f0056d7f16.jpg,Hairline Fracture,treino
Hairline Fracture/Train/bones_what_to_k_7329_g.rf.f0075b56d7f16.jpg,Hairline Fracture,treino
